[INFO][user.go:89]2022/06/05 15:11:14 用户注销成功, 用户名: admin
[INFO][user.go:89]2022/06/05 15:24:59 用户注销成功, 用户名: admin2
[INFO][user.go:89]2022/06/05 16:22:22 用户注销成功, 用户名: 12345678
[INFO][user.go:89]2022/06/05 16:57:14 用户注销成功, 用户名: 1234567
[INFO][user.go:89]2022/06/05 17:41:23 用户注销成功, 用户名: 222
[INFO][user.go:55]2022/06/05 17:48:40 用户登录成功, 用户名: admin
[INFO][user.go:55]2022/06/05 17:49:35 用户登录成功, 用户名: admin
[INFO][user.go:55]2022/06/05 17:50:46 用户登录成功, 用户名: admin
[INFO][user.go:55]2022/06/05 17:58:40 用户登录成功, 用户名: admin
[INFO][user.go:55]2022/06/05 18:00:16 用户登录成功, 用户名: admin
[INFO][user.go:55]2022/06/05 18:00:50 用户登录成功, 用户名: admin
[INFO][user.go:55]2022/06/06 00:33:22 用户登录成功, 用户名: admin
[INFO][user.go:55]2022/06/07 12:39:33 用户登录成功, 用户名: admin
